Path,Explanation,Inhibited
"[['AKT1(S473)', 'up', 'conflicting', 'PTPRF', 'na', 'na', 'na'], Variable(136)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'TBK1', 'na', 'na', 'na'], Variable(136)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(T1262)', 'unaffected', 'unknown'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S2454)', 'unaffected', 'p_inc'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S1261)', 'unaffected', 'unknown'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S2448)', 'unaffected', 'conflicting'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S1891)', 'down', 'unknown'], ['MTOR(S1891)', 'down', 'unknown', 'na', 'na', 'na', 'na'], Variable(146)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PTPA', 'na', 'na', 'na'], Variable(136)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S742)', 'unaffected', 'p_inc'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], Variable(146)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKD1', 'PRKD1(S742)', 'unaffected', 'p_inc'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKD1', 'PRKD1(S208)', 'unaffected', 'unknown'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S307)', 'unaffected', 'unknown'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S306)', 'up', 'unknown'], ['PRKCD(S306)', 'up', 'unknown', 'SRPK2', 'SRPK2(S52)', 'up', 'unknown'], ['SRPK2(S52)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(166)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S306)', 'up', 'unknown'], ['PRKCD(S306)', 'up', 'unknown', 'SRPK2', 'SRPK2(S497)', 'unaffected', 'unknown'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S306)', 'up', 'unknown'], ['PRKCD(S306)', 'up', 'unknown', 'LIMK2', 'LIMK2(S293)', 'up', 'unknown'], ['LIMK2(S293)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(166)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S304)', 'down', 'p_inc'], Variable(146)]",unexpectedFC,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S299)', 'unaffected', 'p_inc'], Variable(146)]",unaffected,_1558
